股票代码,股票简称,申购代码,交易所,板块,发行总数,网上发行,顶格申购需配市值,申购上限,发行价格,最新价,首日收盘价,申购日期,中签号公布日,中签缴款日期,上市日期,发行市盈率,行业市盈率,中签率,询价累计报价倍数,配售对象报价家数,连续一字板数量,涨幅,每中一签获利
688806,泰诺麦博,787806,上海证券交易所,科创板,6908.1928,11743500,11.5,11500,,,,2026-07-10,2026-07-14,2026-07-14,,,26.28,,,,待上市,,
920117,龙鑫智能,920117,北京证券交易所,北交所,2246.0003,20214003,1802.0781,1010700,17.83,,,2026-07-06,2026-07-09,,,14.99,48.92,,,,,,
920081,欧伦电气,920081,北京证券交易所,北交所,1900.0,17100000,3307.995,855000,38.69,,,2026-07-01,2026-07-06,,,12.78,27.45,,,,,,
920189,康美特,920189,北京证券交易所,北交所,2121.0,19089000,776.8816,954400,8.14,,,2026-06-29,2026-07-02,,,14.98,71.85,0.01821858,,,,,
301583,托伦斯,301583,深圳证券交易所,非科创板,4636.8423,16229000,9.5,9500,22.6,,,2026-06-29,2026-07-01,2026-07-01,,44.82,43.51,0.0152610521,5185.64,11032.0,待上市,,
920136,永励精密,920136,北京证券交易所,北交所,2000.0,18000000,1735.2,900000,19.28,,,2026-06-24,2026-06-29,,,14.99,26.5,0.03170047,,,,,
920222,益坤电气,920222,北京证券交易所,北交所,1284.71,11562390,583.3029,578100,10.09,34.5,36.17,2026-06-22,2026-06-25,,2026-06-30 00:00:00,14.98,27.8,0.01521177,,,,316.98,
001248,N华润,001248,深圳证券交易所,非科创板,210725.5,930704000,632.0,632000,10.11,23.95,23.95,2026-06-22,2026-06-24,2026-06-24,2026-07-02 00:00:00,21.99,20.86,0.1463265126,1104.51,10118.0,,136.8942,6920.0
920193,N吉和昌,920193,北京证券交易所,北交所,2800.0,25200000,1073.52,1260000,8.52,61.05,61.05,2026-06-17,2026-06-23,,2026-07-02 00:00:00,14.98,30.32,0.0219624,,,,610.7981,
920072,科莱瑞迪,920072,北京证券交易所,北交所,1480.0,6660000,416.1168,266400,15.62,35.6,48.68,2026-06-15,2026-06-18,,2026-06-29 00:00:00,19.62,46.96,0.01806667,,,,218.65,
688797,臻宝科技,787797,上海证券交易所,科创板,3882.26,12423000,9.0,9000,44.56,668.01,585.0,2026-06-12,2026-06-16,2026-06-16,2026-06-24 00:00:00,31.31,68.68,0.02174394,4511.1,10787.0,,885.2,197220.0
001399,惠科股份,001399,深圳证券交易所,非科创板,72978.3474,364892000,218.5,218500,10.12,46.82,42.0,2026-06-12,2026-06-16,2026-06-16,2026-06-26 00:00:00,25.45,68.68,0.0720290079,2786.14,11053.0,,353.7,17895.0
920126,永大股份,920126,北京证券交易所,北交所,4652.0,41868000,1630.7586,2093400,7.79,12.16,17.68,2026-06-03,2026-06-08,,2026-06-15 00:00:00,14.98,47.09,0.02839115,,,,153.35,
920083,金戈新材,920083,北京证券交易所,北交所,2231.7369,20089392,969.246,1004400,9.65,45.59,51.51,2026-06-01,2026-06-04,,2026-06-11 00:00:00,14.93,41.01,0.02033329,,,,447.61,
301669,高特电子,301669,深圳证券交易所,非科创板,12000.0,34238000,16.5,16500,7.08,39.01,51.3,2026-05-29,2026-06-02,2026-06-02,2026-06-09 00:00:00,29.97,28.92,0.0217233471,4984.53,10632.0,,659.84,23360.0
920206,彩客科技,920206,北京证券交易所,北交所,797.48,7177320,1086.4464,358800,30.28,50.19,81.87,2026-05-27,2026-06-01,,2026-06-08 00:00:00,14.98,32.47,0.02432338,,,,197.36,
920211,新睿电子,920211,北京证券交易所,北交所,640.0,5760000,725.472,288000,25.19,121.76,226.88,2026-05-25,2026-05-28,,2026-06-05 00:00:00,14.99,57.91,0.01870066,,,,906.08,
920218,新天力,920218,北京证券交易所,北交所,2341.781,21076029,1284.5822,1053800,12.19,17.96,45.2,2026-05-20,2026-05-25,,2026-05-29 00:00:00,14.78,30.67,0.02578989,,,,262.53,
920161,龙辰科技,920161,北京证券交易所,北交所,3399.85,30598650,1409.0379,1529900,9.21,33.16,40.95,2026-05-18,2026-05-21,,2026-05-27 00:00:00,14.98,70.47,0.02740647,,,,449.58,
688635,长进光子,787635,上海证券交易所,科创板,2341.75,7510500,5.5,5500,40.98,395.5,659.99,2026-05-18,2026-05-20,2026-05-20,2026-05-27 00:00:00,44.22,70.47,0.0204956,4835.03,10167.0,,1300.04,266380.0
920220,朗信电气,920220,北京证券交易所,北交所,1324.1252,11917127,1685.5182,595800,28.29,53.89,138.8,2026-05-13,2026-05-18,,2026-05-22 00:00:00,14.99,29.17,0.03565682,,,,518.6,
603435,嘉德利,732435,上海证券交易所,非科创板,4600.0,25760000,11.0,11000,15.76,64.16,127.68,2026-05-13,2026-05-15,2026-05-15,2026-05-22 00:00:00,29.72,70.43,0.02202419,5218.4,11608.0,,566.07,44605.0
001237,惠康科技,001237,深圳证券交易所,非科创板,3708.7858,29670500,14.5,14500,53.26,69.01,111.8,2026-05-13,2026-05-15,2026-05-15,2026-05-22 00:00:00,21.04,29.81,0.0177973931,4056.33,10466.0,,134.09,35710.0
001365,天海电子,001365,深圳证券交易所,非科创板,7900.0,44240000,18.5,18500,27.19,41.6,67.12,2026-05-07,2026-05-11,2026-05-11,2026-05-18 00:00:00,23.4,28.97,0.0233760627,4032.23,10520.0,,159.98,21750.0
920096,嘉晨智能,920096,北京证券交易所,北交所,1800.0,16200000,1168.83,810000,14.43,42.78,112.01,2026-05-06,2026-05-11,,2026-05-18 00:00:00,14.99,43.79,0.02679695,,,,450.63,
