日期,代码,名称,涨跌幅%,"主力净流入(亿,新浪口径)","特大单净(亿,新浪口径)","10:30主力净(亿,分笔重构)","10:30特大单净(亿,分笔重构)","全天主力净(亿,分笔重构)","全天特大单净(亿,分笔重构)",所属板块(通达信),板块涨跌%
2026-06-05,300308,中际旭创,-7.81,-30.85,-30.86,7.53,7.52,5.79,5.7,通信设备,-3.42
2026-06-08,300308,中际旭创,-2.12,51.82,51.81,20.48,20.48,31.73,31.65,通信设备,-3.81
2026-06-09,300308,中际旭创,2.17,7.95,8.0,9.95,9.95,24.96,24.97,通信设备,5.08
2026-06-10,300308,中际旭创,-2.8,-13.57,-13.15,-4.65,-4.62,-2.19,-1.88,通信设备,-3.57
2026-06-11,300308,中际旭创,-2.01,8.74,8.76,14.01,14.0,2.78,2.84,通信设备,-1.82
2026-06-12,300308,中际旭创,2.22,11.19,11.28,1.03,1.0,-18.36,-18.28,通信设备,-0.3
2026-06-15,300308,中际旭创,8.36,46.83,46.72,14.97,14.98,35.42,35.21,通信设备,6.09
2026-06-16,300308,中际旭创,0.25,-4.22,-4.19,-0.99,-0.96,6.25,6.38,通信设备,1.95
2026-06-17,300308,中际旭创,2.25,27.61,27.88,6.96,7.03,26.64,26.93,通信设备,1.28
2026-06-18,300308,中际旭创,7.19,21.0,21.18,12.17,12.14,23.4,23.66,通信设备,4.41
2026-06-22,300308,中际旭创,1.06,-1.95,-2.09,11.15,11.12,8.6,8.36,通信设备,1.59
2026-06-23,300308,中际旭创,-5.23,-40.28,-40.2,-10.95,-10.91,-23.24,-23.12,通信设备,-3.4
2026-06-24,300308,中际旭创,0.17,6.52,6.49,15.68,15.63,12.45,12.47,通信设备,1.5
2026-06-25,300308,中际旭创,0.86,-4.17,-4.16,-9.82,-9.83,-1.7,-1.67,通信设备,1.92
2026-06-26,300308,中际旭创,-5.25,-44.93,-44.88,-39.61,-39.62,-34.35,-34.29,通信设备,-6.8
2026-06-29,300308,中际旭创,-2.7,-8.37,-8.29,0.8,0.8,6.32,6.41,通信设备,-2.34
2026-06-30,300308,中际旭创,4.1,29.08,29.16,14.18,14.22,27.21,27.27,通信设备,4.71
2026-07-01,300308,中际旭创,-3.69,-28.39,-28.48,-2.95,-2.95,-18.94,-19.07,通信设备,-3.62
