代码,名称,30日累计涨跌%,主力累计净流入(亿),特大单累计净(亿),主力为正天数,最大单日涨%,最大单日跌%
300308,中际旭创,-23.48,62.0,61.81,15/30,8.36,-12.0
603986,兆易创新,-12.5,-177.23,-169.86,13/30,10.0,-10.0
000725,京东方A,-0.39,523.34,495.14,25/30,10.09,-10.01
601138,工业富联,-26.68,-1.59,-11.15,13/30,7.49,-8.79
002463,沪电股份,-9.25,3.81,3.01,13/30,10.0,-10.0
600584,长电科技,6.89,18.03,-5.37,12/30,10.01,-10.0
001309,德明利,-21.2,61.35,65.99,15/30,10.0,-10.0
002916,深南电路,-15.09,81.23,73.04,17/30,10.0,-8.24
300502,新易盛,-12.76,-6.11,-5.64,14/30,10.99,-11.56
600183,生益科技,-7.59,34.76,29.01,15/30,10.0,-10.0
002384,东山精密,1.73,-2.58,-4.64,15/30,10.0,-10.0
688008,澜起科技,-29.29,-68.19,-63.68,11/30,15.64,-16.44
688041,海光信息,6.74,23.14,30.11,14/30,6.9,-7.89
688256,寒武纪,-12.39,42.65,44.78,13/30,14.2,-8.8
