日期,代码,名称,涨跌幅%,"主力净流入(亿,新浪口径)","特大单净(亿,新浪口径)","10:30主力净(亿,分笔重构)","10:30特大单净(亿,分笔重构)","全天主力净(亿,分笔重构)","全天特大单净(亿,分笔重构)",所属板块(通达信),板块涨跌%
2026-04-01,300308,中际旭创,5.71,24.4,24.54,-1.22,-1.13,16.26,16.77,通信设备,3.34
2026-04-02,300308,中际旭创,-3.31,-17.23,-17.97,-5.72,-5.58,-14.65,-15.16,通信设备,-1.81
2026-04-03,300308,中际旭创,4.22,29.83,30.35,18.58,18.76,22.12,22.98,通信设备,1.98
2026-04-07,300308,中际旭创,2.15,1.94,1.7,-7.45,-7.58,-0.17,-0.64,通信设备,0.51
2026-04-08,300308,中际旭创,11.09,48.28,48.29,18.56,18.68,40.26,40.59,通信设备,7.06
2026-04-09,300308,中际旭创,0.71,-0.39,0.23,2.02,2.06,2.29,3.04,通信设备,0.48
2026-04-10,300308,中际旭创,6.02,16.2,16.64,5.01,5.11,7.93,8.46,通信设备,1.91
2026-04-13,300308,中际旭创,0.46,0.95,0.62,-9.91,-9.92,-7.64,-7.96,通信设备,-0.61
2026-04-14,300308,中际旭创,4.75,7.81,7.98,11.45,11.26,6.95,7.09,通信设备,2.59
2026-04-15,300308,中际旭创,0.9,-0.1,0.32,7.06,7.07,11.66,12.07,通信设备,-1.33
2026-04-16,300308,中际旭创,3.8,4.18,3.56,-1.7,-1.71,16.98,16.16,通信设备,3.4
2026-04-17,300308,中际旭创,5.12,46.32,46.96,11.91,11.83,22.06,22.61,通信设备,3.79
2026-04-20,300308,中际旭创,-0.12,-15.13,-14.77,5.01,5.03,-9.36,-8.77,通信设备,1.14
2026-04-21,300308,中际旭创,1.75,10.25,10.69,-2.14,-2.14,9.93,10.43,通信设备,-0.17
2026-04-22,300308,中际旭创,2.52,22.02,22.08,6.13,6.16,23.86,23.94,通信设备,5.4
2026-04-23,300308,中际旭创,1.17,-5.67,-6.06,-3.57,-3.67,-0.73,-1.31,通信设备,-0.78
2026-04-24,300308,中际旭创,-1.12,-0.22,-0.44,-6.31,-6.28,-6.45,-6.64,通信设备,-3.56
2026-04-27,300308,中际旭创,-3.38,-15.14,-15.17,-15.7,-15.72,-13.26,-13.58,通信设备,0.81
2026-04-28,300308,中际旭创,-3.74,-21.57,-21.27,-8.46,-8.48,-15.7,-15.54,通信设备,-1.48
2026-04-29,300308,中际旭创,2.55,17.89,16.89,6.61,6.64,12.26,11.24,通信设备,-0.36
2026-04-30,300308,中际旭创,1.48,-0.87,-1.31,-3.69,-3.76,-10.03,-10.39,通信设备,-1.18
2026-04-01,603986,兆易创新,7.12,8.7,10.2,1.37,1.65,11.68,13.21,半导体,3.15
2026-04-02,603986,兆易创新,-3.15,-8.36,-8.91,-4.79,-4.45,-6.86,-7.46,半导体,-3.23
2026-04-03,603986,兆易创新,0.86,-1.84,-1.67,1.75,2.17,-2.16,-1.85,半导体,0.06
2026-04-07,603986,兆易创新,0.23,-6.07,-6.5,-3.02,-2.98,-5.68,-5.9,半导体,1.84
2026-04-08,603986,兆易创新,2.53,1.51,0.09,-7.25,-7.27,-0.71,-2.07,半导体,6.36
2026-04-09,603986,兆易创新,-2.14,4.44,6.46,0.2,0.46,8.51,10.37,半导体,0.11
2026-04-10,603986,兆易创新,5.85,17.03,17.4,10.24,10.2,15.23,15.63,半导体,1.76
2026-04-13,603986,兆易创新,-1.12,-8.85,-9.48,0.72,0.41,-6.72,-7.32,半导体,0.8
2026-04-14,603986,兆易创新,6.84,15.51,15.6,11.53,11.58,17.03,17.18,半导体,2.63
2026-04-15,603986,兆易创新,-2.15,-14.37,-13.86,-4.39,-4.43,-13.01,-12.44,半导体,-0.5
2026-04-16,603986,兆易创新,4.66,11.22,11.28,-2.2,-1.97,9.66,9.96,半导体,1.24
2026-04-17,603986,兆易创新,0.78,-3.21,-3.16,-0.13,-0.37,-4.71,-4.65,半导体,1.09
2026-04-20,603986,兆易创新,0.55,-4.4,-4.28,-2.75,-2.9,-6.38,-6.09,半导体,1.3
2026-04-21,603986,兆易创新,5.43,17.86,17.83,12.93,12.9,20.25,20.38,半导体,-1.33
2026-04-22,603986,兆易创新,2.52,6.84,6.65,-2.96,-2.93,7.53,7.56,半导体,2.88
2026-04-23,603986,兆易创新,-2.93,-9.96,-10.27,-8.78,-8.73,-6.12,-6.38,半导体,-1.52
2026-04-24,603986,兆易创新,-2.34,-4.8,-4.81,-6.21,-5.98,-4.93,-5.13,半导体,1.73
2026-04-27,603986,兆易创新,1.93,0.51,-0.13,2.02,1.91,1.13,0.68,半导体,3.9
2026-04-28,603986,兆易创新,1.35,3.09,3.52,9.68,9.5,2.79,3.15,半导体,-1.44
2026-04-29,603986,兆易创新,0.45,0.66,1.57,-3.49,-3.39,0.74,1.54,半导体,0.07
2026-04-30,603986,兆易创新,1.33,-6.35,-5.84,-4.15,-4.01,-2.59,-1.93,半导体,4.91
2026-04-01,000725,京东方A,2.59,2.85,3.21,2.13,2.15,2.41,2.55,元器件,2.76
2026-04-02,000725,京东方A,-1.52,-4.12,-3.01,-1.29,-1.17,-3.37,-2.63,元器件,-2.72
2026-04-03,000725,京东方A,-0.51,-1.28,-0.4,-0.04,0.13,-0.86,-0.45,元器件,0.17
2026-04-07,000725,京东方A,-0.52,-2.71,-1.97,-0.73,-0.97,-2.33,-1.84,元器件,0.83
2026-04-08,000725,京东方A,3.11,5.45,5.14,0.42,0.67,4.72,4.43,元器件,6.97
2026-04-09,000725,京东方A,-0.5,0.86,0.88,0.18,0.49,1.37,1.33,元器件,1.28
2026-04-10,000725,京东方A,0.76,0.36,0.58,0.36,0.38,0.3,0.38,元器件,2.18
2026-04-13,000725,京东方A,-0.25,0.21,0.61,-0.34,-0.16,0.6,0.78,元器件,1.3
2026-04-14,000725,京东方A,-0.25,-1.95,-1.93,0.17,0.17,-2.15,-2.15,元器件,2.29
2026-04-15,000725,京东方A,-0.5,0.14,0.86,-0.1,0.07,-0.4,0.17,元器件,-1.18
2026-04-16,000725,京东方A,0.76,1.88,1.06,-1.1,-1.14,2.03,1.41,元器件,1.37
2026-04-17,000725,京东方A,-0.25,-0.78,-0.79,-0.65,-0.42,-0.49,-0.5,元器件,2.35
2026-04-20,000725,京东方A,4.29,10.73,10.57,4.61,4.62,10.12,10.1,元器件,2.35
2026-04-21,000725,京东方A,0.73,-0.33,0.41,-2.03,-1.5,0.89,1.42,元器件,0.67
2026-04-22,000725,京东方A,1.2,4.06,4.75,1.96,2.18,4.4,4.88,元器件,3.03
2026-04-23,000725,京东方A,-1.9,-6.07,-5.48,-1.7,-1.36,-5.53,-5.1,元器件,-1.7
2026-04-24,000725,京东方A,-1.45,-3.85,-2.75,-1.8,-1.52,-3.23,-2.43,元器件,-1.5
2026-04-27,000725,京东方A,1.96,2.45,2.56,0.75,0.45,2.57,2.43,元器件,3.22
2026-04-28,000725,京东方A,-1.44,-3.48,-2.62,-0.88,-0.52,-3.13,-2.54,元器件,-1.7
