股票,代码,日期,涨跌幅%,主力净流入_945前(亿),主力净流入_1130前(亿),主力净流入_全天_逐笔重建(亿),主力净流入_全天_新浪口径(亿)
中际旭创,sz300308,2026-05-29,-3.07,-6.861,-11.406,-13.498,-18.618
中际旭创,sz300308,2026-06-01,-2.68,2.868,-5.566,-4.98,-23.412
中际旭创,sz300308,2026-06-02,5.47,5.182,26.871,31.68,40.83
中际旭创,sz300308,2026-06-03,6.98,27.369,58.995,37.583,37.304
中际旭创,sz300308,2026-06-04,0.39,6.494,6.517,12.117,-4.355
中际旭创,sz300308,2026-06-05,-7.81,-5.71,-3.7,5.792,-30.864
中际旭创,sz300308,2026-06-08,-2.12,8.749,22.94,31.729,51.813
中际旭创,sz300308,2026-06-09,2.17,23.383,11.651,24.958,7.996
中际旭创,sz300308,2026-06-10,-2.8,-2.974,-3.448,-2.187,-13.155
中际旭创,sz300308,2026-06-11,-2.01,20.064,5.851,2.777,8.759
中际旭创,sz300308,2026-06-12,2.22,2.159,-3.499,-18.364,11.279
中际旭创,sz300308,2026-06-15,8.36,-4.593,25.349,35.422,46.724
中际旭创,sz300308,2026-06-16,0.25,3.128,2.884,6.251,-4.194
中际旭创,sz300308,2026-06-17,2.25,2.542,12.81,26.64,27.879
中际旭创,sz300308,2026-06-18,7.19,10.565,9.542,23.215,21.177
中际旭创,sz300308,2026-06-22,1.06,3.838,2.28,8.627,-2.091
中际旭创,sz300308,2026-06-23,-5.23,-10.544,-22.122,-22.991,-40.203
中际旭创,sz300308,2026-06-24,0.17,14.2,12.598,12.451,6.488
中际旭创,sz300308,2026-06-25,0.86,8.567,-10.887,-1.695,-4.155
中际旭创,sz300308,2026-06-26,-5.25,-17.509,-46.03,-34.35,-44.881
中际旭创,sz300308,2026-06-29,-2.7,3.927,-5.324,6.031,-8.285
中际旭创,sz300308,2026-06-30,4.1,5.463,33.255,26.893,29.161
中际旭创,sz300308,2026-07-01,-3.69,9.252,-5.543,-18.937,-28.479
中际旭创,sz300308,2026-07-02,-6.55,-2.926,3.44,-0.853,13.692
中际旭创,sz300308,2026-07-03,-2.36,14.331,31.499,28.058,31.15
中际旭创,sz300308,2026-07-06,-1.53,-7.517,-7.348,-2.71,-2.746
中际旭创,sz300308,2026-07-07,2.09,9.664,10.693,18.706,17.147
中际旭创,sz300308,2026-07-08,0.57,-0.462,25.004,5.437,-0.723
