code,name,board,issue_price,latest,first_close,apply_date,list_date,issue_pe,industry_pe,first_close_gt_latest,latest_vs_first_close_pct,first_close_vs_issue_pct,latest_vs_issue_pct,list_year
920222,益坤电气,北交所,10.09,34.5,36.17,2026-06-22,2026-06-30,14.98,27.8,True,-4.617085982858726,258.4737363726462,241.9226957383548,2026
001248,N华润,非科创板,10.11,23.95,23.95,2026-06-22,2026-07-02,21.99,20.86,False,0.0,136.89416419386745,136.89416419386745,2026
920193,N吉和昌,北交所,8.52,61.05,61.05,2026-06-17,2026-07-02,14.98,30.32,False,0.0,616.5492957746479,616.5492957746479,2026
920072,科莱瑞迪,北交所,15.62,35.6,48.68,2026-06-15,2026-06-29,19.62,46.96,True,-26.86935086277732,211.65172855313702,127.91293213828428,2026
688797,臻宝科技,科创板,44.56,668.01,585.0,2026-06-12,2026-06-24,31.31,68.68,False,14.189743589743586,1212.8366247755832,1399.124775583483,2026
001399,惠科股份,非科创板,10.12,46.82,42.0,2026-06-12,2026-06-26,25.45,68.68,False,11.476190476190485,315.0197628458498,362.64822134387356,2026
920126,永大股份,北交所,7.79,12.16,17.68,2026-06-03,2026-06-15,14.98,47.09,True,-31.221719457013574,126.9576379974326,56.09756097560976,2026
920083,金戈新材,北交所,9.65,45.59,51.51,2026-06-01,2026-06-11,14.93,41.01,True,-11.492913997282074,433.78238341968904,372.43523316062175,2026
301669,高特电子,非科创板,7.08,39.01,51.3,2026-05-29,2026-06-09,29.97,28.92,True,-23.957115009746587,624.5762711864406,450.98870056497174,2026
920206,彩客科技,北交所,30.28,50.19,81.87,2026-05-27,2026-06-08,14.98,32.47,True,-38.69549285452547,170.3764861294584,65.75297225891677,2026
920211,新睿电子,北交所,25.19,121.76,226.88,2026-05-25,2026-06-05,14.99,57.91,True,-46.332863187588146,800.6748709805479,383.3664152441445,2026
920218,新天力,北交所,12.19,17.96,45.2,2026-05-20,2026-05-29,14.78,30.67,True,-60.26548672566372,270.79573420836755,47.33388022969649,2026
920161,龙辰科技,北交所,9.21,33.16,40.95,2026-05-18,2026-05-27,14.98,70.47,True,-19.023199023199034,344.62540716612375,260.043431053203,2026
688635,长进光子,科创板,40.98,395.5,659.99,2026-05-18,2026-05-27,44.22,70.47,True,-40.07484961893362,1510.5173255246464,865.1049292337726,2026
920220,朗信电气,北交所,28.29,53.89,138.8,2026-05-13,2026-05-22,14.99,29.17,True,-61.174351585014406,390.63273241428067,90.49133969600567,2026
603435,嘉德利,非科创板,15.76,64.16,127.68,2026-05-13,2026-05-22,29.72,70.43,True,-49.74937343358397,710.1522842639595,307.10659898477155,2026
001237,惠康科技,非科创板,53.26,69.01,111.8,2026-05-13,2026-05-22,21.04,29.81,True,-38.27370304114489,109.91363124295907,29.571911378144968,2026
001365,天海电子,非科创板,27.19,41.6,67.12,2026-05-07,2026-05-18,23.4,28.97,True,-38.02145411203814,146.85546156675252,52.99742552408975,2026
920096,嘉晨智能,北交所,14.43,42.78,112.01,2026-05-06,2026-05-18,14.99,43.79,True,-61.80698151950719,676.2300762300763,196.46569646569648,2026
001393,维通利,非科创板,30.38,52.97,120.67,2026-05-06,2026-05-15,25.36,29.4,True,-56.103422557387916,297.2021066491113,74.35813034891376,2026
920178,锐翔智能,北交所,29.47,123.99,173.99,2026-04-27,2026-05-15,14.99,41.25,True,-28.737283751939767,490.3970139124534,320.73294876145235,2026
603407,长裕集团,非科创板,13.86,100.71,91.84,2026-04-27,2026-05-11,23.0,33.94,False,9.658101045296164,562.6262626262627,626.6233766233765,2026
301531,春光集团,非科创板,13.3,70.97,97.5,2026-04-24,2026-05-11,26.02,64.72,True,-27.210256410256406,633.0827067669172,433.6090225563909,2026
920200,振宏股份,北交所,20.58,32.34,94.02,2026-04-22,2026-05-07,14.99,45.08,True,-65.60306317804722,356.8513119533528,57.14285714285716,2026
920186,中科仪,北交所,16.21,102.32,71.98,2026-04-20,2026-04-29,35.23,,False,42.150597388163355,344.0468846391116,531.2152991980258,2026
301599,理奇智能,非科创板,13.91,44.0,62.4,2026-04-20,2026-04-30,22.7,40.77,True,-29.487179487179482,348.5981308411215,216.31919482386772,2026
920156,海昌智能,北交所,20.93,50.42,40.6,2026-04-15,2026-04-27,14.98,40.8,False,24.187192118226598,93.9799331103679,140.89823220258003,2026
688808,联讯仪器,科创板,81.88,2130.0,799.0,2026-04-14,2026-04-24,63.64,41.99,False,166.58322903629536,875.818270639961,2501.367855398144,2026
920125,鸿仕达,北交所,16.57,185.7,50.02,2026-04-13,2026-04-24,14.99,40.88,False,271.2514994002399,201.8708509354255,1020.7000603500301,2026
001312,福恩股份,非科创板,18.38,19.2,30.57,2026-04-10,2026-04-21,16.83,27.63,True,-37.19332679097155,66.32208922742112,4.461371055495111,2026
920191,瑞尔竞达,北交所,7.71,9.35,14.88,2026-04-09,2026-04-20,14.99,39.14,True,-37.16397849462366,92.99610894941634,21.271076523994804,2026
688820,盛合晶微,科创板,19.68,179.87,76.65,2026-04-09,2026-04-21,195.62,62.61,False,134.6640574037834,289.4817073170732,813.9735772357724,2026
301513,尚水智能,非科创板,26.66,68.28,103.1,2026-04-08,2026-04-17,18.02,41.56,True,-33.773035887487865,286.72168042010503,156.1140285071268,2026
920177,恒道科技,北交所,21.8,25.76,36.58,2026-04-07,2026-04-16,14.99,41.56,True,-29.579004920721697,67.79816513761467,18.165137614678905,2026
603293,埃泰克,非科创板,33.49,40.62,71.02,2026-04-07,2026-04-16,29.71,63.04,True,-42.80484370599831,112.06330247835172,21.28993729471482,2026
