date,n,n_above,breadth
2023-09-20,1,0,0.0
2023-09-21,1,0,0.0
2023-09-22,1,0,0.0
2023-09-25,1,0,0.0
2023-09-26,2,0,0.0
2023-09-27,2,0,0.0
2023-09-28,2,1,0.5
2023-10-09,3,2,0.6666666666666666
2023-10-10,3,1,0.3333333333333333
2023-10-11,3,1,0.3333333333333333
2023-10-12,3,1,0.3333333333333333
2023-10-13,3,1,0.3333333333333333
2023-10-16,3,2,0.6666666666666666
2023-10-17,3,2,0.6666666666666666
2023-10-18,3,2,0.6666666666666666
2023-10-19,3,1,0.3333333333333333
2023-10-20,5,1,0.2
2023-10-23,5,1,0.2
2023-10-24,5,3,0.6
2023-10-25,5,3,0.6
2023-10-26,6,4,0.6666666666666666
2023-10-27,6,5,0.8333333333333334
2023-10-30,7,7,1.0
2023-10-31,7,5,0.7142857142857143
2023-11-01,8,5,0.625
2023-11-02,8,5,0.625
2023-11-03,8,6,0.75
2023-11-06,9,7,0.7777777777777778
2023-11-07,9,8,0.8888888888888888
2023-11-08,16,14,0.875
2023-11-09,15,12,0.8
2023-11-10,16,13,0.8125
2023-11-13,17,13,0.7647058823529411
2023-11-14,17,15,0.8823529411764706
2023-11-15,19,17,0.8947368421052632
2023-11-16,21,18,0.8571428571428571
2023-11-17,21,19,0.9047619047619048
2023-11-20,24,22,0.9166666666666666
2023-11-21,26,25,0.9615384615384616
2023-11-22,139,90,0.6474820143884892
2023-11-23,169,120,0.7100591715976331
2023-11-24,181,102,0.56353591160221
2023-11-27,189,111,0.5873015873015873
2023-11-28,194,125,0.6443298969072165
2023-11-29,267,146,0.5468164794007491
2023-11-30,282,123,0.43617021276595747
2023-12-01,313,159,0.5079872204472844
2023-12-04,367,174,0.47411444141689374
2023-12-05,393,115,0.2926208651399491
2023-12-06,3455,1001,0.28972503617945006
2023-12-07,3454,938,0.27156919513607414
2023-12-08,3456,723,0.2092013888888889
2023-12-11,3456,967,0.27980324074074076
2023-12-12,3455,1115,0.3227206946454414
2023-12-13,3456,1029,0.2977430555555556
2023-12-14,3456,1011,0.2925347222222222
2023-12-15,3457,877,0.25368816893260054
2023-12-18,3456,615,0.1779513888888889
2023-12-19,3453,615,0.17810599478714162
2023-12-20,3455,491,0.14211287988422577
2023-12-21,3456,619,0.1791087962962963
2023-12-22,3456,478,0.13831018518518517
2023-12-25,3454,492,0.14244354371742907
2023-12-26,3457,420,0.1214926236621348
2023-12-27,3458,507,0.14661654135338345
2023-12-28,3457,1076,0.3112525310963263
2023-12-29,3458,1657,0.4791787160208213
2024-01-02,3457,1826,0.5282036447787098
2024-01-03,3457,1719,0.49725195256002314
2024-01-04,3458,1581,0.4572006940427993
2024-01-05,3459,1113,0.3217692974848222
2024-01-08,3459,606,0.17519514310494363
2024-01-09,3459,802,0.23185891876264816
2024-01-10,3459,712,0.20583983810349812
2024-01-11,3458,1115,0.3224407171775593
2024-01-12,3457,1109,0.32079838009835115
2024-01-15,3458,1057,0.305668016194332
2024-01-16,3460,971,0.28063583815028903
2024-01-17,3460,535,0.1546242774566474
2024-01-18,3460,459,0.13265895953757226
2024-01-19,3460,382,0.11040462427745665
2024-01-22,3462,152,0.0439052570768342
2024-01-23,3462,192,0.05545927209705372
2024-01-24,3463,314,0.09067282702858794
2024-01-25,3464,709,0.20467667436489606
2024-01-26,3464,795,0.22950346420323325
2024-01-29,3465,556,0.16046176046176047
2024-01-30,3464,345,0.09959584295612009
2024-01-31,3465,205,0.05916305916305916
2024-02-01,3465,168,0.048484848484848485
2024-02-02,3464,137,0.03954965357967667
2024-02-05,3464,123,0.0355080831408776
2024-02-06,3466,340,0.09809578765147144
2024-02-07,3466,651,0.18782458165031737
2024-02-08,3466,934,0.26947489901904215
2024-02-19,3466,1109,0.31996537795729946
2024-02-20,3466,1229,0.3545874206578188
