策略,N,净胜率%,平均净%,中位净%,平均盈%,平均亏%,P10%,P90%,t值
v1·无门·开1,92,42.4,0.179,-0.127,1.44,-0.75,-1.21,2.16,1.01
v1·无门·收2,92,40.2,0.245,-1.125,5.17,-3.07,-5.14,9.24,0.44
v1·无门·收3,92,38.0,0.013,-0.737,5.73,-3.5,-6.01,7.59,0.02
v1·无门·收5,92,44.6,-0.099,-0.548,6.14,-5.11,-8.51,8.22,-0.13
v1·无门·条件,92,39.1,-0.474,-0.682,4.01,-3.36,-5.82,4.67,-0.94
v1·门·开1,69,43.5,0.107,-0.111,1.14,-0.69,-1.1,1.81,0.67
v1·门·收2,69,39.1,0.13,-1.102,4.83,-2.89,-5.14,9.1,0.22
v1·门·收3,69,36.2,-0.265,-0.721,5.17,-3.36,-5.88,7.53,-0.4
v1·门·收5,69,49.3,0.418,-0.08,5.36,-4.38,-7.29,7.55,0.52
v1·门·条件,69,36.2,-0.699,-0.721,3.7,-3.2,-5.69,4.66,-1.29
e2·无门·开1,893,31.7,-0.304,-0.35,1.19,-1.0,-1.79,1.21,-6.23
e2·无门·收2,893,38.6,-0.4,-1.042,4.35,-3.39,-5.56,5.38,-2.28
e2·无门·收3,893,38.4,-0.582,-1.333,5.31,-4.25,-6.93,7.03,-2.7
e2·无门·收5,892,42.0,-0.435,-1.439,6.64,-5.57,-9.32,8.93,-1.55
e2·无门·条件,893,38.7,-0.599,-1.333,4.78,-4.0,-6.51,6.17,-3.11
e2·门·开1,621,32.9,-0.272,-0.35,1.06,-0.92,-1.65,1.15,-5.31
e2·门·收2,621,39.6,-0.075,-0.931,4.23,-2.9,-4.91,5.29,-0.39
e2·门·收3,621,39.6,-0.015,-0.93,5.22,-3.45,-5.89,7.06,-0.06
e2·门·收5,621,45.9,0.477,-0.653,6.37,-4.52,-7.22,9.17,1.54
e2·门·条件,621,40.4,-0.066,-0.851,4.76,-3.34,-5.53,6.25,-0.31
