date,open,close,high,low,vol,open_raw,close_raw,high_raw,low_raw
2023-11-08,55.308,54.751,55.469,54.087,700384.0,84.4,83.57,84.64,82.58
2023-11-09,54.375,54.617,55.302,54.375,563143.0,83.01,83.37,84.39,83.01
2023-11-10,55.033,54.926,55.214,54.087,521304.0,83.99,83.83,84.26,82.58
2023-11-13,54.899,56.704,57.429,54.563,1102829.0,83.79,86.48,87.56,83.29
2023-11-14,56.711,57.167,57.993,56.389,871822.0,86.49,87.17,88.4,86.01
2023-11-15,57.188,55.879,58.047,55.617,853257.0,87.2,85.25,88.48,84.86
2023-11-16,55.879,54.933,56.382,54.812,472504.0,85.25,83.84,86.0,83.66
2023-11-17,54.906,55.577,55.892,54.624,669931.0,83.8,84.8,85.27,83.38
2023-11-20,55.711,57.422,58.161,55.443,1466386.0,85.0,87.55,88.65,84.6
2023-11-21,57.422,58.731,59.127,56.651,1965703.0,87.55,89.5,90.09,86.4
2023-11-22,58.584,57.053,59.08,56.382,1614707.0,89.28,87.0,90.02,86.0
2023-11-23,57.476,57.02,57.483,55.771,745031.0,87.63,86.95,87.64,85.09
2023-11-24,57.375,56.288,57.375,56.047,595129.0,87.48,85.86,87.48,85.5
2023-11-27,57.06,56.315,57.295,55.946,954717.0,87.01,85.9,87.36,85.35
2023-11-28,56.248,56.704,57.295,55.718,767463.0,85.8,86.48,87.36,85.01
2023-11-29,56.389,56.275,57.49,55.986,1139535.0,86.01,85.84,87.65,85.41
2023-11-30,56.241,54.617,56.892,53.577,1343898.0,85.79,83.37,86.76,81.82
2023-12-01,54.63,54.946,55.355,53.698,1109834.0,83.39,83.86,84.47,82.0
2023-12-04,55.047,54.973,56.651,54.302,1154639.0,84.01,83.9,86.4,82.9
2023-12-05,55.677,52.939,55.677,52.939,1192184.0,84.95,80.87,84.95,80.87
2023-12-06,53.02,53.188,53.792,52.221,1038133.0,80.99,81.24,82.14,79.8
2023-12-07,52.879,53.114,54.033,52.516,1006394.0,80.78,81.13,82.5,80.24
2023-12-08,53.033,53.295,53.979,52.49,2135608.0,81.01,81.4,82.42,80.2
2023-12-11,53.349,54.06,54.798,52.624,1302799.0,81.48,82.54,83.64,80.4
2023-12-12,54.067,54.537,56.013,53.979,1306594.0,82.55,83.25,85.45,82.42
2023-12-13,53.416,54.006,55.308,53.416,746819.0,81.58,82.46,84.4,81.58
2023-12-14,54.469,54.167,54.644,53.785,515321.0,83.15,82.7,83.41,82.13
2023-12-15,54.167,53.503,54.946,53.154,497223.0,82.7,81.71,83.86,81.19
2023-12-18,53.617,52.63,53.617,52.322,452051.0,81.88,80.41,81.88,79.95
2023-12-19,52.174,53.268,53.282,52.174,540943.0,79.73,81.36,81.38,79.73
2023-12-20,53.61,52.51,53.61,52.322,380982.0,81.87,80.23,81.87,79.95
2023-12-21,52.523,53.966,54.033,51.832,608989.0,80.25,82.4,82.5,79.22
2023-12-22,53.966,53.469,54.288,52.812,489555.0,82.4,81.66,82.88,80.68
2023-12-25,53.597,53.033,54.657,52.792,514985.0,81.85,81.01,83.43,80.65
2023-12-26,52.651,51.167,53.355,51.013,499537.0,80.44,78.23,81.49,78.0
2023-12-27,51.053,51.677,52.235,50.691,374704.0,78.06,78.99,79.82,77.52
2023-12-28,51.946,52.02,52.476,51.013,530662.0,79.39,79.5,80.18,78.0
2023-12-29,52.073,52.04,52.818,51.865,455099.0,79.58,79.53,80.69,79.27
2024-01-02,52.214,53.013,53.684,51.852,747872.0,79.79,80.98,81.98,79.25
2024-01-03,53.026,52.02,53.026,51.906,497087.0,81.0,79.5,81.0,79.33
2024-01-04,52.349,51.248,52.349,50.798,370010.0,79.99,78.35,79.99,77.68
2024-01-05,51.013,50.342,51.295,49.698,528795.0,78.0,77.0,78.42,76.04
2024-01-08,50.375,49.194,50.375,48.865,368217.0,77.05,75.29,77.05,74.8
2024-01-09,49.194,47.315,49.657,46.986,626551.0,75.29,72.49,75.98,72.0
2024-01-10,46.906,46.315,47.268,46.241,596734.0,71.88,71.0,72.42,70.89
2024-01-11,46.181,46.852,47.282,43.543,1818494.0,70.8,71.8,72.44,66.87
2024-01-12,45.637,45.308,46.308,45.006,888649.0,69.99,69.5,70.99,69.05
2024-01-15,45.194,46.966,47.188,44.879,984859.0,69.33,71.97,72.3,68.86
2024-01-16,47.0,46.282,47.0,45.429,712160.0,72.02,70.95,72.02,69.68
2024-01-17,45.792,44.483,46.449,44.483,548597.0,70.22,68.27,71.2,68.27
2024-01-18,44.483,46.181,46.577,43.557,1049228.0,68.27,70.8,71.39,66.89
2024-01-19,46.107,44.946,46.288,44.946,544268.0,70.69,68.96,70.96,68.96
2024-01-22,45.04,41.375,45.483,40.805,1123200.0,69.1,63.64,69.76,62.79
