code,name,trade,float_cap_yi,float_shares,turnoverratio
600004,白云机场,7.7,182.237307791,2366718282.9999995,0.57739
600006,东风股份,5.33,106.6,2000000000.0,0.75746
600007,中国国贸,20.23,203.7732566282,1007282534.0,0.2526
600008,首创环保,2.9,212.87712963299998,7340590677.0,0.946
600009,上海机场,23.44,479.64791831599996,2046279514.9999998,0.91876
600010,包钢股份,2.2,689.0006615140001,31318211887.0,1.64073
600011,华能国际,6.9,758.841984411,10997709919.0,0.91618
600012,皖通高速,16.81,195.93736,1165600000.0,0.44032
600017,日照港,2.72,83.6577857536,3075653887.9999995,1.27517
600020,中原高速,3.81,85.6248667992,2247371832.0,0.45276
600021,上海电力,14.09,397.60230092449996,2821875805.0,1.96891
600022,山东钢铁,1.35,144.434468979,10698849553.999998,1.24601
600023,浙能电力,5.0,670.43663745,13408732749.0,0.89731
600026,中远海能,15.83,605.9711266347999,3827991955.9999995,2.10438
600027,华电国际,4.63,426.68586024010006,9215677327.0,0.84309
600029,南方航空,5.05,680.587096706,13476972212.0,0.58852
600032,浙江新能,6.6,158.708571384,2404675324.0000005,0.82109
600033,福建高速,3.59,98.52396,2744400000.0,1.02019
600035,楚天高速,3.58,57.6421492558,1610115901.0,1.13661
600037,歌华有线,6.8,94.640896112,1391777884.0000002,2.98639
600038,中直股份,25.25,168.9061433025,668935221.0,0.9073
600039,四川路桥,8.42,732.168732309,8695590645.0,0.15518
600048,保利发展,4.91,587.7487718238,11970443418.0,1.6095
600052,东望时代,3.65,30.813108046500002,844194741.0,1.54682
600054,黄山旅游,11.08,56.87364,513300000.0,1.14754
600055,万东医疗,10.78,75.78998205239999,703061058.0,0.99629
600056,中国医药,9.64,144.1518824792,1495351478.0,2.19544
600057,厦门象屿,6.05,126.59686492200001,2092510164.0000002,1.07441
600058,五矿发展,8.88,95.1856711368,1071910710.9999999,1.86594
600059,古越龙山,7.95,72.4676218335,911542412.9999999,1.11525
600060,海信视像,26.96,350.5254871816,1300168720.9999998,0.78813
600061,国投资本,6.68,427.11899960000005,6393997000.0,0.88653
600062,华润双鹤,17.25,179.09387943,1038225388.0,1.47325
600063,皖维高新,5.72,118.3528888828,2069106449.0000002,2.94358
600064,南京高科,7.63,132.02491483720001,1730339644.0000002,1.08192
600066,宇通客车,29.16,645.5846774268,2213939223.0,0.8198
